files,blank,comment,code,sum,version
4,565,3406,1202,5173,1.0
4,565,3406,1202,5173,1.0.1
5,623,4772,1381,6776,1.0.2
4,602,4699,1302,6603,1.0.3
4,601,4135,1345,6081,1.0.4
5,513,3009,1435,4957,1.1
5,517,3020,1456,4993,1.1.1
5,525,3102,1480,5107,1.1.2
5,553,3113,1552,5218,1.1.3
5,555,3113,1554,5222,1.1.3.1
5,585,3147,1646,5378,1.1.4
25,2803,2835,11952,17590,1.10.0
25,2806,2838,11950,17594,1.10.1
25,2802,2810,11972,17584,1.10.2
77,1433,1303,6013,8749,1.11.0
76,1410,1309,5970,8689,1.11.1
77,1413,1315,5981,8709,1.11.2
77,1414,1319,5981,8714,1.11.3
94,1720,1435,6320,9475,1.12.0
94,1720,1435,6319,9474,1.12.1
93,1717,1432,6312,9461,1.12.2
93,1716,1431,6307,9454,1.12.3
93,1715,1426,6307,9448,1.12.4
6,589,435,1940,2964,1.2
6,595,440,1956,2991,1.2.1
6,670,621,2090,3381,1.2.2
7,1348,1236,4230,6814,1.2.3
7,695,654,2195,3544,1.2.4
7,695,654,2195,3544,1.2.5
8,1390,1312,4396,7098,1.2.6
10,1531,1242,5697,8470,1.3
10,1531,1242,5697,8470,1.3.0
10,1535,1252,5683,8470,1.3.1
10,1573,1262,5904,8739,1.3.2
15,1987,1504,7436,10927,1.4
15,1987,1504,7436,10927,1.4.0
15,2022,1514,7545,11081,1.4.1
15,2148,1498,7757,11403,1.4.2
15,2431,1701,8460,12592,1.4.3
15,2590,1721,8711,13022,1.4.4
18,2861,2373,9723,14957,1.5
18,2861,2373,9723,14957,1.5.0
18,2877,2483,9866,15226,1.5.1
19,2884,2510,9934,15328,1.5.2
19,2965,2624,10713,16302,1.6
19,2965,2624,10713,16302,1.6.0
19,2980,2647,10811,16438,1.6.1
19,2985,2660,10883,16528,1.6.2
19,3010,2252,11391,16653,1.6.3
19,3012,2254,11391,16657,1.6.4
20,2915,2420,11801,17136,1.7
20,2915,2420,11801,17136,1.7.0
21,2924,2395,11750,17069,1.7.1
21,2946,2444,11951,17341,1.7.2
23,2732,2579,11667,16978,1.8.0
23,2727,2592,11738,17057,1.8.1
23,2735,2626,11839,17200,1.8.2
23,2738,2630,11878,17246,1.8.3
23,2764,2671,11816,17251,1.9.0
24,2761,2695,11866,17322,1.9.1
26,2443,2465,10812,15720,2.0.0
26,2460,2520,10848,15828,2.0.1
26,2463,2523,10842,15828,2.0.2
26,2463,2495,10870,15828,2.0.3
79,1204,1098,5384,7686,2.1.0
78,1214,1109,5412,7735,2.1.1
79,1219,1098,5415,7732,2.1.2
79,1219,1098,5415,7732,2.1.3
79,1220,1102,5415,7737,2.1.4
95,1507,1231,5738,8476,2.2.0
95,1506,1234,5736,8476,2.2.1
94,1505,1235,5738,8478,2.2.2
94,1505,1235,5738,8478,2.2.3
94,1501,1218,5731,8450,2.2.4
100,1646,1301,6019,8966,3.0.0
101,1662,1306,6040,9008,3.1.0
102,1686,1318,6101,9105,3.1.1
103,1696,1322,6123,9141,3.2.0
103,1697,1328,6123,9148,3.2.1
107,1717,1356,6241,9314,3.3.0
107,1717,1356,6241,9314,3.3.1
109,1758,1434,6358,9550,3.4.0
109,1758,1442,6363,9563,3.4.1
